"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
Hu Jintao met with Japanese Prime Minister Shinzo Abe.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Shinzo Abe",Hu Jintao met with Japanese Prime Minister Shinzo Abe.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Shinzo Abe",Hu Jintao met with Japanese Prime Minister Shinzo Abe.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Shinzo Abe","Hu Jintao met with Nguyen Ba Thanh, secretary of the Da Nang City Committee of the Communist Party of Vietnam., Hu Jintao held talk with Nong Duc Manh, general secretary of the Central Committee of the Communist Party of Vietnam, Vietnamese President Nguyen Minh Triet., Hu Jintao met with Australian Prime Minister John Howard.
, Hu Jintao met with President of the Republic of Korea (ROK) Roh Moo-hyun.
, Hu Jintao met with Chilean President Michelle Bachelet., Hu Jintao met with Chairman of the Vietnamese National Assembly Nguyen Phu Trong., Hu Jintao met with Vietnamese Prime Minister Nguyen Tan Dung., Hu Jintao met with U.S. President George W. Bush., Hu Jintao met with Russian President Vladimir Putin., Hu Jintao addressed the 14th APEC Economic Leaders' Meeting., Hu Jintao met with Japanese Prime Minister Shinzo Abe.","Hu Jintao, Ma Kai, Wang Gang, Wang Jiarui, Ba Thanh Nguyen, Hu Jintao, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Duc Manh Nong, Minh Triet Nguyen, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, John Howard, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Moo-hyun Roh, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Michelle Bachelet, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Phu Trong Nguyen, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Tan Dung Nguyen, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, George W. Bush, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Vladimir Putin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Wang Jiarui, Shinzo Abe",15.11.2006 - 18.11.2006,18.11.2006,18.11.2006,TRUE,18.11.2006,"November 18, 2006",Vietnam,Hanoi,,http://news.xinhuanet.com/english/2006-11/18/content_5346087.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=5535
"Hu Jintao met with some world leaders after the outreach session of the G8 summit.
","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Jacques Chirac, Romano Prodi","Hu Jintao met with some world leaders after the outreach session of the G8 summit.
","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Jacques Chirac, Romano Prodi","Hu Jintao met with some world leaders after the outreach session of the G8 summit.
","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Jacques Chirac, Romano Prodi","Hu Jintao met with US President George W. Bush during a bilateral meeting on the sidelines of the G8 Summit., Hu Jintao attended the leaders' meeting of the six developing countries., Hu Jintao, Russian President Vladimir Putin and Indian Prime Minister Manmohan Singh held a trilateral summit meeting.
, Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with some world leaders after the outreach session of the G8 summit.
","Hu Jintao, Tang Jiaxuan, George W. Bush, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Denis Sassou-Nguesso, Manmohan Singh, Da Silva Lula, Vicente Fox, Thabo Mbeki, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Vladimir Putin, Manmohan Singh, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Jacques Chirac, Romano Prodi",16.7.2006 - 17.7.2006,17.7.2006,17.7.2006,TRUE,17.7.2006,"July 17, 2006",Russia,St. Petersburg,,http://english.gov.cn/2006-07/18/content_338481.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=5149
Hu Jintao attended the second summit of the Conference on Interaction and Confidence-Building Measures in Asia (CICA).,"Hu Jintao, Tang Jiaxuan",Hu Jintao attended the second summit of the Conference on Interaction and Confidence-Building Measures in Asia (CICA).,"Hu Jintao, Tang Jiaxuan",Hu Jintao attended the second summit of the Conference on Interaction and Confidence-Building Measures in Asia (CICA).,"Hu Jintao, Tang Jiaxuan",Hu Jintao attended the second summit of the Conference on Interaction and Confidence-Building Measures in Asia (CICA).,"Hu Jintao, Tang Jiaxuan",17.6.2006,17.6.2006,17.6.2006,TRUE,17.6.2006,"June 17, 2006",Kazakhstan,Almaty,,http://news.xinhuanet.com/english/2006-06/17/content_4710642.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=5069
Hu Jintao held talks with Kenyan President Mwai Kibaki.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Mwai Kibaki",Hu Jintao held talks with Kenyan President Mwai Kibaki.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Mwai Kibaki",Hu Jintao held talks with Kenyan President Mwai Kibaki.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Mwai Kibaki","Hu Jintao met with the UN Human Settlement Program (UN-HABITAT) Executive Director Mrs. Anna Kajumulo Tibaijuka and Environment Program (UNEP) acting Executive Director Shafqat Kakakhel., Hu Jintao held talks with Kenyan President Mwai Kibaki.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Anna Kajumulo Tibaijuka, Shafqat Kakakhel, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Mwai Kibaki",28.4.2006,28.4.2006,28.4.2006,TRUE,28.4.2006,"April 28, 2006",Kenya,Nairobi,,http://english.gov.cn/2006-04/28/content_269154.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4911
Hu Jintao held talks with Nigerian President Olusegun Obasanjo.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Olusegun Obasanjo",Hu Jintao held talks with Nigerian President Olusegun Obasanjo.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Olusegun Obasanjo",Hu Jintao held talks with Nigerian President Olusegun Obasanjo.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Olusegun Obasanjo",Hu Jintao held talks with Nigerian President Olusegun Obasanjo.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Olusegun Obasanjo",26.4.2006,26.4.2006,26.4.2006,TRUE,26.4.2006,"April 26, 2006",Nigeria,Abuja,,http://news.xinhuanet.com/english/2006-04/27/content_4479268.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4908
"Hu Jintao met with Moroccan Prime Minister Driss Jettou, Senate President Moustapha Okacha, and Chamber of Representatives President Abdeloughed Radi.
","Hu Jintao, Li Zhaoxing, Abdeloughed Radi, Driss Jettou, Moustapha Okacha","Hu Jintao met with Moroccan Prime Minister Driss Jettou, Senate President Moustapha Okacha, and Chamber of Representatives President Abdeloughed Radi.
","Hu Jintao, Li Zhaoxing, Abdeloughed Radi, Driss Jettou, Moustapha Okacha","Hu Jintao met with Moroccan Prime Minister Driss Jettou, Senate President Moustapha Okacha, and Chamber of Representatives President Abdeloughed Radi.
","Hu Jintao, Li Zhaoxing, Abdeloughed Radi, Driss Jettou, Moustapha Okacha","Hu Jintao held talks with Moroccan King S. M. Le Roi Mohammed VI., Hu Jintao met with Moroccan Prime Minister Driss Jettou, Senate President Moustapha Okacha, and Chamber of Representatives President Abdeloughed Radi.
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, S. M. Le Roi Mohammed VI, Hu Jintao, Li Zhaoxing, Abdeloughed Radi, Driss Jettou, Moustapha Okacha",24.4.2006 - 25.4.2006,25.4.2006,25.4.2006,TRUE,25.4.2006,"April 25, 2006",Morocco,Rabat,,http://en.chinabroadcast.cn/811/2006/04/25/198@81396.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4907
"Hu Jintao met with Salih bin Abdullah bin Hameed, chairman of the Saudi Consultative Council.","Hu Jintao, Tang Jiaxuan, Salih bin Abdullah bin Hameed","Hu Jintao met with Salih bin Abdullah bin Hameed, chairman of the Saudi Consultative Council.","Hu Jintao, Tang Jiaxuan, Salih bin Abdullah bin Hameed","Hu Jintao met with Salih bin Abdullah bin Hameed, chairman of the Saudi Consultative Council.","Hu Jintao, Tang Jiaxuan, Salih bin Abdullah bin Hameed","Hu Jintao held talks with Saudi King Abdullah bin Abdul-Aziz., Hu Jintao met with Abdul Rahman Al-Attiyah, Secretary General of the Gulf Cooperation Council (GCC)., Hu Jintao met with Saudi Crown Prince Sultan bin Abdul-Aziz Al-Saud., Hu Jintao met with Salih bin Abdullah bin Hameed, chairman of the Saudi Consultative Council.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, King Abdullah bin Abdul-Aziz, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Abdul Rahman Al-Attiyah, Hu Jintao, Tang Jiaxuan, Sultan bin Abdul-Aziz Al-Saud, Hu Jintao, Tang Jiaxuan, Salih bin Abdullah bin Hameed",22.4.2006 - 23.4.2006,23.4.2006,23.4.2006,TRUE,23.4.2006,"April 23, 2006",Saudi Arabia,Riyadh,,http://news.xinhuanet.com/english/2006-04/23/content_4463955.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4894
"Hu Jintao met with Donald Tsang Yam-kuen, chief executive of the Hong Kong Special Administrative Region (HKSAR) on the sidelines of the Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Zeng Yingyinquan","Hu Jintao met with Donald Tsang Yam-kuen, chief executive of the Hong Kong Special Administrative Region (HKSAR) on the sidelines of the Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Zeng Yingyinquan","Hu Jintao met with Donald Tsang Yam-kuen, chief executive of the Hong Kong Special Administrative Region (HKSAR) on the sidelines of the Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Zeng Yingyinquan","Hu Jintao held talks with Roh Moo-hyun, President of the Republic of Korea (ROK)., Hu Jintao attended the 13th Economic Leaders' Meeting of the Asia-Pacific Economic Cooperation (APEC) forum., Hu Jintao met with Russian President Vladimir Putin on the sidelines of the Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting. 
, Hu Jintao met with Donald Tsang Yam-kuen, chief executive of the Hong Kong Special Administrative Region (HKSAR) on the sidelines of the Asia-Pacific Economic Cooperation (APEC) Economic Leaders' Meeting. 
","Hu Jintao, Tang Jiaxuan,  Roh Moo-hyun, Hu Jintao, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Zeng Yingyinquan",16.11.2005 - 18.11.2005,18.11.2005,18.11.2005,TRUE,18.11.2005,"November 18, 2005",Republic of Korea,Pusan,,,,http://www.chinavitae.com//vip/index.php?mode=show&id=4364
"Hu Jintao met with Spanish King, Juan Carlos I and Queen Sofia. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Juan Carlos I,  Queen Sofia","Hu Jintao met with Spanish King, Juan Carlos I and Queen Sofia. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Juan Carlos I,  Queen Sofia","Hu Jintao met with Spanish King, Juan Carlos I and Queen Sofia. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Juan Carlos I,  Queen Sofia","He Jintao met with Juan Antonio Samaranch, Honorary President of the International Olympic Committee (IOC) and Spain-side chairman of the China-Spain forum., Hu Jintao met with Francisco Javier Rojo Garcia, president of Senate of Spain. , Hu Jintao met with Manuel Marin, president of Congress of Deputies of Spain., Hu Jintao held talks with Spanish Prime Minister Jose Luis Rodriguez Zapatero., Hu Jintao met with Spanish King, Juan Carlos I and Queen Sofia. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Juan Antonio Samaranch, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Francisco Javier Rojo Garcia, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Manuel Marin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Jose Luis Rodriguez Zapatero, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Juan Carlos I,  Queen Sofia",13.11.2005 - 14.11.2005,14.11.2005,14.11.2005,TRUE,14.11.2005,"November 14, 2005",Spain,Madrid,,,,http://www.chinavitae.com//vip/index.php?mode=show&id=4329
"Hu Jintao met with Angela Merkel, German designated chancellor.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Angela Merkel","Hu Jintao met with Angela Merkel, German designated chancellor.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Angela Merkel","Hu Jintao met with Angela Merkel, German designated chancellor.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Angela Merkel","Hu Jintao met with German President Horst K, Hu Jintao met with German Parliament speaker Norbert Lammert., Hu Jintao met with Berlin Mayor Klaus Wowereit., Hu Jintao met with German Chancellor Gerhard Schroeder., Hu Jintao met with Angela Merkel, German designated chancellor.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Xu Kuangdi, Horst K, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Norbert Lammert, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Klaus Wowereit, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Gerhard Schroeder, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Angela Merkel",10.11.2005 - 11.11.2005,11.11.2005,11.11.2005,TRUE,11.11.2005,"November 11, 2005",Germany,Berlin,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4322
Hu Jintao held talks with British Prime Minister Tony Blair.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Tony Blair",Hu Jintao held talks with British Prime Minister Tony Blair.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Tony Blair",Hu Jintao held talks with British Prime Minister Tony Blair.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Tony Blair","Hu Jintao met with Britain's Liberal Democrats party leader Charles Kennedy., Hu Jintao met with Britain's Conservative Party leader Michael Howard., Hu Jintao met with British Queen Elizabeth II and her husband Prince Philip., Hu Jintao held talks with British Prime Minister Tony Blair.","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Charles Kennedy, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Michael Howard, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan,  Prince Philip,  Queen Elizabeth II, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Tony Blair",8.11.2005 - 9.11.2005,9.11.2005,9.11.2005,TRUE,9.11.2005,"November 09, 2005",United Kingdom,London,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4311
"Hu Jintao met with Nguyen Van An, chairman of the Vietnamese National Assembly.","Hu Jintao, Bo Xilai, Wang Gang, Wang Jiarui, Nguyen Van An","Hu Jintao met with Nguyen Van An, chairman of the Vietnamese National Assembly.","Hu Jintao, Bo Xilai, Wang Gang, Wang Jiarui, Nguyen Van An","Hu Jintao met with Nguyen Van An, chairman of the Vietnamese National Assembly.","Hu Jintao, Bo Xilai, Wang Gang, Wang Jiarui, Nguyen Van An","Hu Jintao held talks with general secretary of the Central Committee of the Communist Party of Vietnam (CPV) Nong Duc Manh and Vietnamese President Tran Duc Luong., Hu Jintao met with Vietnamese Prime Minister Phan Van Khai., Hu Jintao met with Nguyen Van An, chairman of the Vietnamese National Assembly.","Hu Jintao, Bo Xilai, Wang Gang, Wang Jiarui, Nong Duc Manh, Tran Duc Luong, Hu Jintao, Bo Xilai, Wang Gang, Wang Jiarui, Phan Van Khai, Hu Jintao, Bo Xilai, Wang Gang, Wang Jiarui, Nguyen Van An",31.10.2005 - 1.11.2005,1.11.2005,1.11.2005,TRUE,1.11.2005,"November 01, 2005",Vietnam,Hanoi,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4277
"Hu Jintao met with Kim Yong Nam, president of the Presidium of the Supreme People's Assembly of the Democratic People's Republic of Korea (DPRK).","Hu Jintao, Li Zhaoxing, Wang Gang, Wang Jiarui,  Kim Yong Nam","Hu Jintao met with Kim Yong Nam, president of the Presidium of the Supreme People's Assembly of the Democratic People's Republic of Korea (DPRK).","Hu Jintao, Li Zhaoxing, Wang Gang, Wang Jiarui,  Kim Yong Nam","Hu Jintao met with Kim Yong Nam, president of the Presidium of the Supreme People's Assembly of the Democratic People's Republic of Korea (DPRK).","Hu Jintao, Li Zhaoxing, Wang Gang, Wang Jiarui,  Kim Yong Nam","Hu Jintao held talks with Kim Jong-il, general secretary of the Workers' Party of Korea and chairman of the DPRK's National Defense Commission., Hu Jintao met with Kim Yong Nam, president of the Presidium of the Supreme People's Assembly of the Democratic People's Republic of Korea (DPRK).","Hu Jintao, Li Zhaoxing, Wang Gang, Wang Jiarui,  Kim Jong-il, Hu Jintao, Li Zhaoxing, Wang Gang, Wang Jiarui,  Kim Yong Nam",28.10.2005 - 29.10.2005,29.10.2005,29.10.2005,TRUE,29.10.2005,"October 29, 2005",Democratic People's Republic of Korea,Pyongyang,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4271
Hu Jintao met with Canadian Prime Minister Paul Martin.,"Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Paul Martin",Hu Jintao met with Canadian Prime Minister Paul Martin.,"Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Paul Martin",Hu Jintao met with Canadian Prime Minister Paul Martin.,"Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Paul Martin","Hu Jintao met with Premier of British Columbia Gordon Campbell., Hu Jintao met with Canadian Prime Minister Paul Martin.","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Gordon Campbell, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Paul Martin",16.9.2005 - 17.9.2005,17.9.2005,17.9.2005,TRUE,17.9.2005,"September 17, 2005",Canada,Vancouver,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4102
"Hu Jintao made a speech regarding the reform of the United Nations at the Roundtable of the UN Summit 2005. 
","Hu Jintao, Li Zhaoxing, Tang Jiaxuan","Hu Jintao made a speech regarding the reform of the United Nations at the Roundtable of the UN Summit 2005. 
","Hu Jintao, Li Zhaoxing, Tang Jiaxuan","Hu Jintao made a speech regarding the reform of the United Nations at the Roundtable of the UN Summit 2005. 
","Hu Jintao, Li Zhaoxing, Tang Jiaxuan","Hu Jintao met with Philippine President Gloria Macapagal Arroyo., Hu Jintao met with US President George W Bush to discuss development of the China-US relations and exchange views on major world and regional issues. 
, Hu Jintao met with Indian Prime Minister Manmohan Singh., Hu Jintao met with Mozambican President Armando Emilio Guebuza., Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with Zambian President Levy Mwanawasa. 
, Hu Jintao delivered a speech at the High-Level Meeting on Financing for Development at the United Nations Summit., Hu Jintao met with Macedonian President Branko Crvenkovski., Hu Jintao met with Gabonese President  El Hadj Omar Bongo Ondimba., Hu Jintao met with Swedish Prime Minister Goran Persson., Hu Jintao met with Pakistani President Pervez Musharraf., Hu Jintao met with Algerian President Abdelaziz Bouteflika., Hu Jintao made a speech regarding the reform of the United Nations at the Roundtable of the UN Summit 2005. 
","Hu Jintao, Gloria Macapagal Arroyo, Hu Jintao, George W. Bush, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Manmohan Singh, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Armando Emilio Guebuza, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Levy Mwanawasa, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Branko Crvenkovski, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, El Habj Omar Bongo Ondimba, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Goran Persson, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Pervez Musharraf, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Abdelaziz Bouteflika, Hu Jintao, Li Zhaoxing, Tang Jiaxuan",13.9.2005 - 15.9.2005,15.9.2005,15.9.2005,TRUE,15.9.2005,"September 15, 2005",USA,New York,New York,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4093
"Hu Jintao held talks with Mexican President Vicente Fox.
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vicente Fox","Hu Jintao held talks with Mexican President Vicente Fox.
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vicente Fox","Hu Jintao held talks with Mexican President Vicente Fox.
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vicente Fox","Hu Jintao held talks with Mexican President Vicente Fox.
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vicente Fox",12.9.2005,12.9.2005,12.9.2005,TRUE,12.9.2005,"September 12, 2005",Mexico,Mexico City,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4079
"Hu Jintao made remarks at a dinner of the China-Canada Trade and Economic Cooperation Forum. 
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan","Hu Jintao made remarks at a dinner of the China-Canada Trade and Economic Cooperation Forum. 
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan","Hu Jintao made remarks at a dinner of the China-Canada Trade and Economic Cooperation Forum. 
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan","Hu Jintao made remarks at the welcoming ceremony held by Canadian Governor General Adrienne Clarkson at Ridea Hall., Hu Jintao met with some members of the Senate and the House of Commons of Canada. 
, Hu Jintao held talks with Canadian Prime Minister Paul Martin on building a strategic partnership., Hu Jintao met with former Canadian Prime Minister Jean Chretien., Hu Jintao made remarks at a dinner of the China-Canada Trade and Economic Cooperation Forum. 
","Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Adrienne Clarkson, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Paul Martin, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Jean Chretien, Hu Jintao, Li Zhaoxing, Ma Kai, Tang Jiaxuan",8.9.2005 - 10.9.2005,10.9.2005,10.9.2005,TRUE,10.9.2005,"September 10, 2005",Canada,Toronto,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=4070
"Hu Jintao met with British Prime Minister Tony Blair, prior to the informal meeting between Group of Eight (G8) leaders and the leaders of China, Brazil, India, Mexico and South Africa.","Hu Jintao, Tony Blair","Hu Jintao met with British Prime Minister Tony Blair, prior to the informal meeting between Group of Eight (G8) leaders and the leaders of China, Brazil, India, Mexico and South Africa.","Hu Jintao, Tony Blair","Hu Jintao met with British Prime Minister Tony Blair, prior to the informal meeting between Group of Eight (G8) leaders and the leaders of China, Brazil, India, Mexico and South Africa.","Hu Jintao, Tony Blair","Hu Jintao attended a dialogue meeting between the Group of Eight (G8) leaders and leaders from China, India, Brazil, South Africa and Mexico. 
, Hu Jintao met with US President George W. Bush., Hu Jintao met with German Chancellor Gerhard Schroeder at the G8 Summit., Hu Jintao met with French President Jacques Chirac at the G8 Summit., Hu Jintao and Brazilian President Luiz Inacio Lula da Silva, Indian Prime Minister Manmohan Singh, South Africa's president Thabo Mbeki and Mexican President Vicente Fox discussed issues of mutual concern at a meeting held before they met with leaders of the Group of Eight (G8). 
, Hu Jintao met with British Prime Minister Tony Blair, prior to the informal meeting between Group of Eight (G8) leaders and the leaders of China, Brazil, India, Mexico and South Africa.","Hu Jintao, Li Zhaoxing, Tang Jiaxuan, Hu Jintao, Li Zhaoxing, Tang Jiaxuan, George W. Bush, Hu Jintao, Gerhard Schroeder, Hu Jintao, Jacques Chirac, Hu Jintao, Tang Jiaxuan, Luiz Inacio Lula da Silva, Vicente Fox, Thabo Mbeki, Manmohan Singh, Hu Jintao, Tony Blair",7.7.2005,7.7.2005,7.7.2005,TRUE,7.7.2005,"July 07, 2005",United Kingdom,Gleneagles,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=3841
Hu Jintao met with Pakistani Prime Minister Shaukat Aziz.,"Hu Jintao, Shaukat Aziz",Hu Jintao met with Pakistani Prime Minister Shaukat Aziz.,"Hu Jintao, Shaukat Aziz",Hu Jintao met with Pakistani Prime Minister Shaukat Aziz.,"Hu Jintao, Shaukat Aziz","Hu Jintao held talks with Kazakh President Nursultan Nazarbayev., Hu Jintao met with Indian Foreign Minister Natwar Singh., Hu Jintao met with Kazak Speaker of Lower House Mukhamedzhnov., Hu Jintao met with Kazak Senate chairmanan N. Abykaev., Hu Jintao met with Kazak Prime Minister Danial Akhmetov., Hu Jintao met with Iranian First Vice President Mohammad Reza Aref., Hu Jintao met with acting Kyrgyz President Kurmanbek Bakiyev., Hu Jintao met with Uzbek President Islam Abduganiyevich Karimov., Hu Jintao addressed the summit of the Shanghai Cooperation Organization (SCO)., Hu Jintao met with Tajik President Emomali Sharipovich Rakhmonov., Hu Jintao met with Pakistani Prime Minister Shaukat Aziz.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Nursultan Nazarbayev, Hu Jintao, Natwar Singh, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan,  Mukhamedzhnov, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, N. Abykaev, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Daniyal Akhmetov, Hu Jintao, Mohammad Reza Aref, Hu Jintao, Kurmanbek Bakiyev, Hu Jintao, Islam Karimov, Hu Jintao, Hu Jintao, Emomali Rakhmonov, Hu Jintao, Shaukat Aziz",3.7.2005 - 6.7.2005,6.7.2005,6.7.2005,TRUE,6.7.2005,"July 06, 2005",Kazakhstan,Astana,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=3836
